Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	qx017084_EGFP_1 Total Spectral Count	qx017084_EGFP_1 Unique Spectral Count	qx017084_EGFP_1 Razor Spectral Count	qx017084_EGFP_1 Total Intensity	qx017084_EGFP_1 Unique Intensity	qx017084_EGFP_1 Razor Intensity	qx017098_EGFP_2 Total Spectral Count	qx017098_EGFP_2 Unique Spectral Count	qx017098_EGFP_2 Razor Spectral Count	qx017098_EGFP_2 Total Intensity	qx017098_EGFP_2 Unique Intensity	qx017098_EGFP_2 Razor Intensity	qx017108_EGFP_4 Total Spectral Count	qx017108_EGFP_4 Unique Spectral Count	qx017108_EGFP_4 Razor Spectral Count	qx017108_EGFP_4 Total Intensity	qx017108_EGFP_4 Unique Intensity	qx017108_EGFP_4 Razor Intensity	qx017176_NSP2_1 Total Spectral Count	qx017176_NSP2_1 Unique Spectral Count	qx017176_NSP2_1 Razor Spectral Count	qx017176_NSP2_1 Total Intensity	qx017176_NSP2_1 Unique Intensity	qx017176_NSP2_1 Razor Intensity	qx017177_NSP2_2 Total Spectral Count	qx017177_NSP2_2 Unique Spectral Count	qx017177_NSP2_2 Razor Spectral Count	qx017177_NSP2_2 Total Intensity	qx017177_NSP2_2 Unique Intensity	qx017177_NSP2_2 Razor Intensity	qx017178_NSP2_3 Total Spectral Count	qx017178_NSP2_3 Unique Spectral Count	qx017178_NSP2_3 Razor Spectral Count	qx017178_NSP2_3 Total Intensity	qx017178_NSP2_3 Unique Intensity	qx017178_NSP2_3 Razor Intensity	Indistinguishable Proteins
1	a	SARS_CoV_2_nsp14	SARS_CoV_2_nsp14			0	0				1	0.999	7	82	82	82	16	16	16	11066144	11066144	11066144	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	4391168	4391168	4391168	9	9	9	2221540	2221540	2221540	4	4	4	1512859	1512859	1512859	
2	a	SARS_CoV_2_nsp10	SARS_CoV_2_nsp10			0	0				1	0.999	8	39	28	28	14	14	14	27234844	27234844	27234844	11	0	0	0	0	0	0	0	0	0	0	0	6	6	6	1372388	1372388	1372388	5	5	5	1480255	1480255	1480255	3	3	3	1255336	1255336	1255336	
3	a	SARS_CoV_2_nsp14	SARS_CoV_2_nsp14			0	0				1	0.999	14	82	82	82	16	16	16	11066144	11066144	11066144	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	4391168	4391168	4391168	9	9	9	2221540	2221540	2221540	4	4	4	1512859	1512859	1512859	
4	a	SARS_CoV_2_nsp5	SARS_CoV_2_nsp5			0	0				1	0.999	11	34	34	34	0	0	0	0	0	0	6	6	6	6210233	6210233	6210233	1	1	1	472328	472328	472328	9	9	9	8362714	8362714	8362714	4	4	4	1968653	1968653	1968653	14	14	14	39050263	39050263	39050263	
5	a	SARS_CoV_2_nsp7	SARS_CoV_2_nsp7			0	0				1	0.999	8	35	35	35	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	32966522	32966522	32966522	5	5	5	1916752	1916752	1916752	2	2	2	180692	180692	180692	2	2	2	112047	112047	112047	
6	a	SARS_CoV_2_nsp8	SARS_CoV_2_nsp8			0	0				1	0.999	7	23	23	23	0	0	0	0	0	0	1	1	1	758119	758119	758119	0	0	0	0	0	0	9	9	9	4829093	4829093	4829093	7	7	7	3518092	3518092	3518092	6	6	6	5459613	5459613	5459613	
7	a	SARS_CoV_2_nsp9	SARS_CoV_2_nsp9			0	0				1	0.999	5	13	13	13	2	2	2	412353	412353	412353	3	3	3	8416973	8416973	8416973	0	0	0	0	0	0	3	3	3	11556330	11556330	11556330	3	3	3	9603433	9603433	9603433	2	2	2	4292992	4292992	4292992	
8	a	sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	64	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative regulator of P-body association 	1	0.999	3	16	16	16	3	3	3	1818139	1818139	1818139	3	3	3	2391614	2391614	2391614	2	2	2	10559906	10559906	10559906	2	2	2	1802805	1802805	1802805	4	4	4	2496316	2496316	2496316	2	2	2	2666970	2666970	2666970	
9	a	sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	38	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase 	1	0.999	12	38	38	38	6	6	6	2755786	2755786	2755786	6	6	6	4315132	4315132	4315132	6	6	6	2740478	2740478	2740478	5	5	5	3290330	3290330	3290330	8	8	8	129622481	129622481	129622481	7	7	7	4018098	4018098	4018098	
10	a	sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable methyltransferase-like protein 15 	1	0.9958	2	3	3	3	0	0	0	0	0	0	1	1	1	477879	477879	477879	1	1	1	473528	473528	473528	0	0	0	0	0	0	1	1	1	2090935	2090935	2090935	0	0	0	0	0	0	
11	a	sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	39	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98 	1	0.999	4	7	7	7	0	0	0	0	0	0	1	1	1	950034	950034	950034	2	2	2	1129203	1129203	1129203	1	1	1	474907	474907	474907	1	1	1	552580	552580	552580	2	2	2	1889623	1889623	1889623	
12	a	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	53	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein 	1	0.999	12	35	35	35	8	8	8	3352511	3352511	3352511	6	6	6	3700281	3700281	3700281	6	6	6	2403024	2403024	2403024	4	4	4	3002997	3002997	3002997	6	6	6	2103791	2103791	2103791	5	5	5	2763996	2763996	2763996	
13	a	sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	9	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1 	1	0.999	3	8	8	8	1	1	1	222858	222858	222858	2	2	2	5079237	5079237	5079237	1	1	1	387371	387371	387371	1	1	1	0	0	0	1	1	1	357626	357626	357626	2	2	2	1034388	1034388	1034388	
14	a	sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1 	1	0.999	7	36	36	36	5	5	5	7354373	7354373	7354373	8	8	8	14349362	14349362	14349362	7	7	7	8366756	8366756	8366756	5	5	5	10528623	10528623	10528623	4	4	4	6223656	6223656	6223656	7	7	7	14528587	14528587	14528587	
15	a	sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18 	1	0.999	3	4	4	4	2	2	2	1242645	1242645	1242645	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1206447	1206447	1206447	0	0	0	0	0	0	0	0	0	0	0	0	
16	a	sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	90	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group nucleosome-binding domain-containing protein 4 	1	0.999	5	17	11	11	2	1	1	15640517	3881681	3881681	2	1	1	50409718	6524126	6524126	2	1	1	26406918	0	0	3	2	2	13319931	4871144	4871144	3	2	2	10614212	5587326	5587326	5	4	4	14760675	5170731	5170731	
17	a	sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	22	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pescadillo homolog 	1	0.999	12	34	34	34	5	5	5	2138629	2138629	2138629	10	10	10	3952461	3952461	3952461	6	6	6	3644724	3644724	3644724	6	6	6	2563245	2563245	2563245	1	1	1	397560	397560	397560	6	6	6	2067687	2067687	2067687	
18	a	sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	31	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar protein 56 	1	0.999	15	16	16	16	5	5	5	1327800	1327800	1327800	3	3	3	1069114	1069114	1069114	0	0	0	0	0	0	8	8	8	3205011	3205011	3205011	0	0	0	0	0	0	0	0	0	0	0	0	
19	a	sp|O14654|IRS4_HUMAN	O14654	IRS4_HUMAN	IRS4	1257	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin receptor substrate 4 	1	0.999	5	11	11	11	1	1	1	431004	431004	431004	3	3	3	828005	828005	828005	2	2	2	980137	980137	980137	2	2	2	621851	621851	621851	3	3	3	452883	452883	452883	0	0	0	0	0	0	
20	a	sp|O14757|CHK1_HUMAN	O14757	CHK1_HUMAN	CHEK1	476	18	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase Chk1 	1	0.999	7	14	14	14	3	3	3	823601	823601	823601	3	3	3	991844	991844	991844	4	4	4	1326979	1326979	1326979	2	2	2	714553	714553	714553	1	1	1	280997	280997	280997	1	1	1	275393	275393	275393	
21	a	sp|O14965|AURKA_HUMAN	O14965	AURKA_HUMAN	AURKA	403	39	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aurora kinase A 	1	0.999	10	20	20	20	2	2	2	846093	846093	846093	2	2	2	972267	972267	972267	3	3	3	670420	670420	670420	3	3	3	719336	719336	719336	6	6	6	1431863	1431863	1431863	4	4	4	1497102	1497102	1497102	
22	a	sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like 	1	0.999	8	8	5	5	2	1	1	1957806	705219	705219	1	0	0	1805276	0	0	0	0	0	0	0	0	5	4	4	50265364	48635697	48635697	0	0	0	0	0	0	0	0	0	0	0	0	
